"Condition","Line","EvoTime","Replicate","Count","G1Peak","G1Peak_anc","G1Peak_diff","G1_mean","G1_mean_anc","G1_sd","G1_sd_anc","t_pval","cohend_d","cohend_mag","Ploidy_change"
"PM",5,"t1000","A",16080,3.20374439448768,4.03848418787817,-0.834739793390486,3.21971865369794,4.10612571416865,0.539990664658601,0.516409833392907,0,-1.82635017459348,"large","down"
"PM",5,"t1000","B",23582,3.675744434209,4.03848418787817,-0.362739753669166,3.77717020578015,4.10612571416865,0.465923141678185,0.516409833392907,0,-0.68971770402278,"medium","small change"
"PM",5,"t1000","C",8085,3.13999369266718,4.03848418787817,-0.898490495210993,3.14560978117215,4.10612571416865,0.440513318089864,0.516409833392907,0,-1.98643232036353,"large","down"
"PM",NA,"4N","anc",30742,4.03347794911246,4.03347794911246,0,4.07446375544891,4.07446375544891,0.47595318715775,0.47595318715775,1,0,"negligible",NA
"PM",NA,"4N","A",9484,3.36388824211314,4.03347794911246,-0.669589706999316,3.44429818883687,4.07446375544891,0.527960461295214,0.47595318715775,0,-1.31211008810261,"large","down"
"PM",NA,"4N","B",13846,3.55622497613485,4.03347794911246,-0.47725297297761,3.64672117847922,4.07446375544891,0.401183171706074,0.47595318715775,0,-0.964292774630159,"large","down"
"PM",NA,"4N","C",19280,3.86302912317597,4.03347794911246,-0.17044882593649,3.92221951269176,4.07446375544891,0.467770184758563,0.47595318715775,8.336210404853e-128,-0.3311830469024,"small","small change"
"PA",NA,"t0","anc",15588,1.78314562546761,1.78314562546761,0,1.80175088546842,1.80175088546842,0.257247086336198,0.257247086336198,1,0,"negligible",NA
"PA",NA,"t0","A",10268,1.76310411380055,1.78314562546761,-0.020041511667054,1.78309129488361,1.80175088546842,0.256111746977266,0.257247086336198,1.10040991432352e-05,-0.0701983680431915,"negligible","small change"
"PA",NA,"t0","C",5505,1.7949614389904,1.78314562546761,0.0118158135227888,1.7845879073961,1.80175088546842,0.270913908439447,0.257247086336198,0.000196887883229983,-0.0736495105420154,"negligible","small change"
"PA",1,"t1000","anc",30041,3.96577742476933,3.96577742476933,0,4.03905531919006,4.03905531919006,0.65430935729986,0.65430935729986,1,0,"negligible",NA
"PA",1,"t1000","A",13107,3.90393897209232,3.96577742476933,-0.0618384526770104,3.88961480601259,4.03905531919006,0.704582215598608,0.65430935729986,3.94233679767637e-60,-0.24224593476855,"small","small change"
"PA",1,"t1000","B",16037,3.9851836072601,3.96577742476933,0.019406182490767,4.0133393360519,4.03905531919006,0.759741325431044,0.65430935729986,0.0336837869173876,-0.0299312462589693,"negligible","small change"
"PA",1,"t1000","C",12350,3.92381265256161,3.96577742476933,-0.041964772207725,3.93725969704168,4.03905531919006,0.78369260647925,0.65430935729986,1.51145197440503e-20,-0.145846839966071,"negligible","small change"
