"Condition","Line","EvoTime","ColonyMorph","Replicate","Area","Radius","Volume"
"PA",2,"t600","S","rep3",11716.763,61.0701358846732,954059.078051348
"PA",2,"t600","S","rep3",6650.493,46.0099735915605,407985.343067811
"PA",2,"t600","S","rep3",13884.289,66.4793686141261,1230691.68850141
"PA",2,"t600","S","rep3",6723.144,46.2606009627765,414688.909065713
"PA",2,"t600","S","rep3",17254.485,74.109872193318,1704970.23748203
"PA",2,"t600","S","rep3",5492.772,41.8139167042925,306232.41451156
"PA",2,"t600","S","rep3",9923.472,56.2026622400401,743634.060085994
"PA",2,"t600","S","rep3",11039.902,59.279928720438,872592.80485416
"PA",2,"t600","S","rep3",22577.911,84.7748328260089,2552051.50744734
"PA",2,"t600","S","rep3",6748.755,46.3486292778146,417060.72477573
"PA",2,"t600","S","rep3",16450.091,72.3617757792261,1587143.72865315
"PA",2,"t600","S","rep3",12453.21,62.9601449944554,1045407.87632854
"PA",2,"t600","S","rep3",5219.936,40.7622034984208,283701.45797431
"PA",2,"t600","S","rep3",9594.188,55.2623279486658,706929.551542872
"PA",2,"t600","S","rep3",11223.36,59.7704479170075,894433.672445101
"PA",2,"t600","S","rep3",10868.465,58.8178532177307,852346.372096058
"PA",2,"t600","S","rep3",8613.653,52.3623042470122,601374.292085585
"PA",2,"t600","S","rep3",6184.791,44.3698108997608,365890.676166057
"PA",2,"t600","S","rep3",19738.75,79.265624743077,2086139.13386321
"PA",2,"t600","S","rep3",4198.11,36.5554362070409,204618.323060187
"PA",2,"t600","S","rep3",8918.894,53.2820057244966,633622.081552238
"PA",2,"t600","S","rep3",8520.094,52.0771557538927,591603.016367742
"PA",2,"t600","S","rep3",19251.096,78.2803562630704,2009310.20444609
"PA",2,"t600","S","rep3",10356.245,57.415112707731,792806.631871834
"PA",2,"t600","S","rep3",7888.705,50.1104060120001,527074.947278528
"PA",2,"t600","S","rep3",9147.825,53.9614967785294,658173.7723574
"PA",2,"t600","S","rep3",9672.589,55.487662625962,715612.473535456
"PA",2,"t600","S","rep3",18128.394,75.9634585233908,1836127.34095292
"PA",2,"t600","S","rep3",11510.83,60.5310745582875,929017.211943697
"PA",2,"t600","S","rep3",9187.548,54.0785295490559,662465.448001826
"PA",2,"t600","S","rep3",6468.602,45.376425227074,391362.713302269
"PA",2,"t600","S","rep3",10195.262,56.9671193482164,774392.94285378
"PA",2,"t600","S","rep3",11621.637,60.8217226880276,942463.977059895
"PA",2,"t600","S","rep3",11130.847,59.5235973517998,883397.406683318
"PA",2,"t600","S","rep3",8034.008,50.5697950567299,541704.184058838
"PA",2,"t600","S","rep3",15275.122,69.7296374955694,1420171.62634746
"PA",2,"t600","S","rep3",8475.667,51.9412032793014,586981.790099555
"PA",2,"t600","S","rep3",10967.25,59.0845504277487,863993.380904969
"PA",2,"t600","S","rep3",18857.523,77.4760350033364,1948008.14936563
"PA",2,"t600","S","rep3",20848.908,81.4641855819864,2264585.74732501
"PA",2,"t600","S","rep3",10986.589,59.1366205843561,866279.660279013
"PA",2,"t600","S","rep3",10995.997,59.1619350050969,867392.613106987
"PA",2,"t600","S","rep3",9842.457,55.972773447801,734546.154440964
"PA",2,"t600","S","rep3",23604.441,86.6806029521138,2728062.90430346
"PA",2,"t600","S","rep3",7153.304,47.7175793820061,455117.801951496
"PA",2,"t600","S","rep3",7389.552,48.4991490241757,477849.311559861
"PA",2,"t600","S","rep3",10506.775,57.830877171358,810154.68598946
"PA",2,"t600","S","rep3",10445.1,57.6608930920976,803031.725915025
"PA",2,"t600","S","rep3",20495.581,80.7709480901435,2207263.34537111
"PA",2,"t600","S","rep3",5998.197,43.6953705142542,349457.920443317
"PA",2,"t600","S","rep3",12488.229,63.048606262368,1049820.57751371
"PA",2,"t600","S","rep3",14367.239,67.6256919437082,1295459.30492751
"PA",2,"t600","S","rep3",9920.858,56.1952594159467,743340.251918361
"PA",2,"t600","S","rep3",12502.341,63.0842194272144,1051600.56399715
"PA",2,"t600","S","rep3",11240.085,59.8149661627099,896433.738587978
"PA",2,"t600","S","rep3",9743.672,55.6911763687228,723515.407774648
"PA",2,"t600","S","rep3",12951.317,64.2069485351873,1108752.72544253
"PA",2,"t600","S","rep3",6076.598,43.980009297005,356331.78204555
"PA",2,"t600","S","rep3",13597.341,65.7888141412519,1192737.2531523
"PA",2,"t600","S","rep3",5298.86,41.0692040768243,290159.950286028
"PA",2,"t1000","D","rep1",85993.84,165.446938390854,18969890.0646306
"PA",2,"t1000","D","rep1",2267.356,26.864880984254,81216.3321185791
"PA",2,"t1000","D","rep1",38161.409,110.214126841359,5607901.82929462
"PA",2,"t1000","D","rep1",3893.915,35.2061307226363,182786.240683779
"PA",2,"t1000","D","rep1",181.368,7.59810683245384,1837.40458665132
"PA",2,"t1000","D","rep1",2038.425,25.4725505150975,69231.8450449835
"PA",2,"t1000","D","rep1",583.303,13.6261187262061,10597.5412418029
"PA",2,"t1000","D","rep1",49094.163,125.008629449404,8182925.37412754
"PA",2,"t1000","D","rep1",34079.332,104.152716191848,4732606.65840501
"PA",2,"t1000","D","rep1",21608.352,82.9346252522991,2389440.76725302
"PA",2,"t1000","D","rep1",52131.416,128.81748753007,8953917.37400655
"PA",2,"t1000","D","rep1",5125.333,40.3911396705271,276024.054747949
"PA",2,"t1000","D","rep1",87410.806,166.804447509931,19440681.601637
"PA",2,"t1000","D","rep1",4489.762,37.8039102635205,226307.413003419
"PA",2,"t1000","D","rep1",25524.742,90.1375488955109,3067650.24009373
"PA",2,"t1000","D","rep1",166181.826,229.994169751919,50961134.7983038
"PA",2,"t1000","D","rep1",1944.867,24.8811252441004,64520.6392134904
"PA",2,"t1000","D","rep1",107147.989,184.678813574844,26383951.313934
"PA",2,"t1000","D","rep1",57628.37,135.43884190164,10406826.2579723
"PA",2,"t1000","D","rep1",13166.136,64.7372477916717,1136452.54492113
"PA",2,"t1000","D","rep1",133254.988,205.952373289803,36592241.3750723
"PA",2,"t1000","D","rep1",25937.653,90.8636966797227,3142388.04636787
"PA",2,"t1000","D","rep1",37744.316,109.610168004821,5516214.42398272
"PA",2,"t1000","D","rep1",3471.072,33.239683110038,153836.444442834
"PA",2,"t1000","D","rep1",116994.105,192.977667740919,30102999.3631149
"PA",2,"t1000","D","rep1",2191.046,26.40893036235,77150.9083129406
"PA",2,"t1000","D","rep1",27817.709,94.0991593250642,3490164.0416657
"PA",2,"t1000","D","rep1",11759.1,61.1803708931534,959234.799159574
"PA",2,"t1000","D","rep1",189750.202,245.762823067223,62178060.4281278
"PA",2,"t1000","D","rep1",3899.141,35.2297477698117,183154.338598575
"PA",2,"t1000","D","rep1",237843.446,275.150722742683,87257061.4220136
"PA",2,"t1000","D","rep1",19255.278,78.2888583938816,2009964.97690243
"PA",2,"t1000","D","rep1",192909.761,247.800492468543,63737511.7037185
"PA",2,"t1000","D","rep1",25058.517,89.3105463772593,2983986.45956512
"PA",2,"t1000","D","rep1",415.002,11.4934433215658,6359.73595378193
"PA",2,"t1000","D","rep1",480.859,12.3718298388093,7932.14096594665
"PA",2,"t1000","D","rep1",11139.209,59.5459515749598,884393.066263142
"PA",2,"t1000","D","rep1",168.301,7.31928084955197,1642.45638168059
"PA",2,"t1000","D","rep1",74081.597,153.560752503312,15168034.3759561
"PA",2,"t1000","D","rep1",12349.72,62.697990140049,1032403.49705649
"PA",2,"t1000","D","rep1",4573.912,38.1565382095215,232699.530659985
"PA",2,"t1000","D","rep1",134143.01,206.637475413951,36958630.5744378
"PA",2,"t1000","D","rep1",826.346,16.2183260914445,17869.2651898144
"PA",2,"t1000","D","rep1",1677.781,23.1096144310399,51697.1626796327
"PA",2,"t1000","D","rep1",4003.676,35.6988746584087,190568.970262505
"PA",2,"t1000","D","rep1",57498.747,135.286435437115,10371734.0316406
"PA",2,"t1000","D","rep1",859362.41,523.013910826211,599277993.161517
"PA",2,"t1000","D","rep1",833374.057,515.044853611988,572300025.588791
"PA",2,"t1000","D","rep1",21045.433,81.8472319807982,2296680.58251646
"PA",2,"t1000","D","rep1",2358.301,27.398367157499,86151.4622211961
"PA",2,"t1000","D","rep1",706732.975,474.299581313943,446937538.857676
"PA",2,"t1000","D","rep1",20692.629,81.1582921323102,2239171.23915669
"PA",2,"t1000","D","rep1",40553.684,113.616189596261,6143406.73356112
"PA",2,"t1000","D","rep1",6348.91,44.9546529237089,380550.727325153
"PA",2,"t1000","D","rep1",170469.314,232.942198704247,52945995.7530196
"PA",2,"t1000","D","rep1",1168.174,19.2831878324841,30034.8248840324
"PA",2,"t1000","D","rep1",11343.052,60.08831492975,908779.841120708
"PA",2,"t1000","D","rep1",14994.446,69.0860362131813,1381209.11913679
"PA",2,"t1000","D","rep1",177.186,7.50999703684104,1774.22177995962
"PA",2,"t1000","D","rep1",315614.07,316.959112031352,133382340.495735
"PA",2,"t1000","D","rep1",712.926,15.0642422284516,14319.5866066148
"PA",2,"t1000","D","rep1",822.687,16.1823794707356,17750.7109595214
"PA",2,"t1000","D","rep1",32154.327,101.168375333828,4337334.69672354
"PA",2,"t1000","D","rep1",1226.714,19.7604451802094,32320.5529983939
"PA",2,"t1000","D","rep1",3112.518,31.4761060222671,130626.595418953
"PA",2,"t1000","D","rep1",690.974,14.830504215837,13663.323760045
"PA",2,"t1000","D","rep1",162317.181,227.304120969647,49193818.8606347
"PA",2,"t1000","D","rep1",44237.484,118.664352259207,6999216.51258273
"PA",2,"t1000","S","rep1",31408.473,99.988136625485,4187299.58602914
"PA",2,"t1000","S","rep1",37760.519,109.633692381178,5519766.83226619
"PA",2,"t1000","S","rep1",59063.107,137.11444441353,10797873.4688559
"PA",2,"t1000","S","rep1",45676.926,120.579505374195,7343601.52545825
"PA",2,"t1000","S","rep1",16092.06,71.5699782524959,1535611.17898381
"PA",2,"t1000","S","rep1",29262.377,96.5116774920899,3765548.1222346
"PA",2,"t1000","S","rep1",10580.472,58.0333424687118,818693.540075488
"PA",2,"t1000","S","rep1",23598.691,86.6700446884415,2727066.1380783
"PA",2,"t1000","S","rep1",35482.187,106.274789604694,5027815.94418588
"PA",2,"t1000","S","rep1",24158.474,87.691967188073,2824672.14576255
"PA",2,"t1000","S","rep1",39424.188,112.022804799596,5888544.15560876
"PA",2,"t1000","S","rep1",15948.325,71.2496281784832,1515082.96842614
"PA",2,"t1000","S","rep1",51290.435,127.774224815364,8738127.4300904
"PA",2,"t1000","S","rep1",18781.213,77.3191164746696,1936195.72731011
"PA",2,"t1000","S","rep1",44854.761,119.489388100832,7146223.92706539
"PA",2,"t1000","S","rep1",30629.167,98.7398939723672,4032427.60272257
"PA",2,"t1000","S","rep1",39428.892,112.029487747079,5889598.09759321
"PA",2,"t1000","S","rep1",17823.676,75.3223225806053,1790027.56432559
"PA",2,"t1000","S","rep1",25267.586,89.6823417613475,3021408.37751499
"PA",2,"t1000","S","rep1",24577.135,88.4485446153506,2898415.76208666
"PA",2,"t1000","S","rep1",45560.893,120.4262540531,7315636.90040549
"PA",2,"t1000","S","rep1",16403.573,72.259390079335,1580416.2401358
"PA",2,"t1000","S","rep1",40973.391,114.202606913213,6239024.08836587
"PA",2,"t1000","S","rep1",29198.088,96.4056018500186,3753145.66201307
"PA",2,"t1000","S","rep1",25617.777,90.3016704228207,3084437.40749242
"PA",2,"t1000","S","rep1",23468.023,86.4297618305673,2704447.51803237
"PA",2,"t1000","S","rep1",33616.244,103.442654652549,4636471.35841043
"PA",2,"t1000","S","rep1",9681.474,55.5131415705446,716598.715698063
"PA",2,"t1000","S","rep1",31515.098,100.157711922003,4208640.14223694
"PA",2,"t1000","S","rep1",25649.138,90.3569266713534,3090103.04193257
"PA",2,"t1000","S","rep1",12184.556,62.2773203787705,1011761.99691343
