"Condition","Line","EvoTime","Replicate","DNA_content"
"PM",NA,"t0","A",3.37028393892775
"PM",NA,"t0","A",1.87461829701098
"PM",NA,"t0","A",4.05231775094929
"PM",NA,"t0","A",1.72976630903644
"PM",NA,"t0","A",3.87868722231756
"PM",NA,"t0","A",3.16042061155423
"PM",NA,"t0","A",1.90399529050141
"PM",NA,"t0","A",3.78773999321927
"PM",NA,"t0","A",3.1047380957322
"PM",NA,"t0","A",3.6725818267057
"PM",NA,"t0","A",1.87349179756018
"PM",NA,"t0","A",1.24447386594198
"PM",NA,"t0","A",2.04639186170427
"PM",NA,"t0","A",2.85214699622086
"PM",NA,"t0","A",1.83398510978949
"PM",NA,"t0","A",3.60905781861285
"PM",NA,"t0","A",2.93210205489688
"PM",NA,"t0","A",3.95425949406781
"PM",NA,"t0","A",1.95554144115253
"PM",NA,"t0","A",3.53439202688942
"PM",NA,"t0","A",2.29401932301052
"PM",NA,"t0","A",2.10083346797504
"PM",NA,"t0","A",1.99281273157553
"PM",NA,"t0","A",2.02458353639892
"PM",NA,"t0","A",4.18711045085925
"PM",NA,"t0","A",2.05526304487933
"PM",NA,"t0","A",1.87991636474053
"PM",NA,"t0","A",3.35404650543769
"PM",NA,"t0","A",4.06430440916797
"PM",NA,"t0","A",3.4799416198417
"PM",NA,"t0","A",1.87147641963648
"PM",NA,"t0","A",3.78047935222778
"PM",NA,"t0","A",4.31036533217545
"PM",NA,"t0","A",1.85966577695698
"PM",NA,"t0","A",4.1702393614281
"PM",NA,"t0","A",3.55324329113643
"PM",NA,"t0","A",1.95525101551287
"PM",NA,"t0","A",4.1605321044419
"PM",NA,"t0","A",2.02634369179079
"PM",NA,"t0","A",1.86071306941515
"PM",NA,"t0","A",1.64262981636156
"PM",NA,"t0","A",4.15346508054351
"PM",NA,"t0","A",1.8611355067092
"PM",NA,"t0","A",3.52493119165808
"PM",NA,"t0","A",1.80946614518064
"PM",NA,"t0","A",1.90233194365608
"PM",NA,"t0","A",1.90242875220264
"PM",NA,"t0","A",2.07781063544928
"PM",NA,"t0","A",1.74446360655862
"PM",NA,"t0","A",4.10147889104442
"PM",NA,"t0","A",2.08563452616618
"PM",NA,"t0","A",2.21937113284101
"PM",NA,"t0","A",2.06196043614543
"PM",NA,"t0","A",4.27615671213431
"PM",NA,"t0","A",1.85030175027219
"PM",NA,"t0","A",4.23640360260877
"PM",NA,"t0","A",2.09631866939487
"PM",NA,"t0","A",3.82369116709836
"PM",NA,"t0","A",3.93841809554092
"PM",NA,"t0","A",3.67769507811911
"PM",NA,"t0","A",4.46154507878378
"PM",NA,"t0","A",4.3400415520825
"PM",NA,"t0","A",4.23326172523427
"PM",NA,"t0","A",2.10255842025908
"PM",NA,"t0","A",1.98083487413381
"PM",NA,"t0","A",3.96439798912502
"PM",NA,"t0","A",2.27657618307702
"PM",NA,"t0","A",4.13096149385836
"PM",NA,"t0","A",3.30551902128363
"PM",NA,"t0","A",4.13934863430066
"PM",NA,"t0","A",2.91062815911598
"PM",NA,"t0","A",1.82932949877798
"PM",NA,"t0","A",4.14952233246571
"PM",NA,"t0","A",2.72410449223875
"PM",NA,"t0","A",3.62817310616864
"PM",NA,"t0","A",4.07095779654927
"PM",NA,"t0","A",2.07380628193276
"PM",NA,"t0","A",4.14115279357733
"PM",NA,"t0","A",2.07583926141038
"PM",NA,"t0","A",3.97071694698186
"PM",NA,"t0","A",2.46418234552025
"PM",NA,"t0","A",1.23209997353708
"PM",NA,"t0","A",4.32238719350197
"PM",NA,"t0","A",3.91213017476323
"PM",NA,"t0","A",4.15783026591537
"PM",NA,"t0","A",4.32770286278544
"PM",NA,"t0","A",2.25279648373275
"PM",NA,"t0","A",4.2516729506333
"PM",NA,"t0","A",3.7115428663049
"PM",NA,"t0","A",1.86662719153186
"PM",NA,"t0","A",1.96186919978633
"PM",NA,"t0","A",3.8853318089219
"PM",NA,"t0","A",1.83921277130337
"PM",NA,"t0","A",2.45947392984698
"PM",NA,"t0","A",4.19592002859559
"PM",NA,"t0","A",1.81631314965505
"PM",NA,"t0","A",3.01353564410208
"PM",NA,"t0","A",1.88371830038698
"PM",NA,"t0","A",4.29142606015885
"PM",NA,"t0","A",1.92795100538486
"PM",NA,"t0","A",2.0916102537216
"PM",NA,"t0","A",2.06688007046572
"PM",NA,"t0","A",1.70777316741494
"PM",NA,"t0","A",3.9893657933588
"PM",NA,"t0","A",4.07757598082273
"PM",NA,"t0","A",1.90798204246401
"PM",NA,"t0","A",1.84957128578456
"PM",NA,"t0","A",1.93382112361677
"PM",NA,"t0","A",2.1727182141793
"PM",NA,"t0","A",1.96193080522505
"PM",NA,"t0","A",3.94419140522627
